foundAroma,foundUnixcoder,potential,unrelatedAroma,unrelatedUnixcoder,dropAmount,sim
43, 42, 96, 186, 313, 0, 0.1
40, 42, 96, 177, 313, 0, 0.2
40, 42, 96, 176, 313, 0, 0.30000000000000004
22, 42, 96, 164, 313, 0, 0.4
2, 42, 96, 4, 313, 0, 0.5
2, 42, 96, 1, 313, 0, 0.6000000000000001
2, 42, 96, 1, 313, 0, 0.7000000000000001
0, 42, 96, 0, 313, 0, 0.8
0, 42, 96, 0, 313, 0, 0.9
73, 40, 96, 147, 315, 0.25, 0.1
72, 40, 96, 141, 315, 0.25, 0.2
71, 40, 96, 107, 315, 0.25, 0.30000000000000004
57, 40, 96, 63, 315, 0.25, 0.4
42, 40, 96, 23, 315, 0.25, 0.5
33, 40, 96, 13, 315, 0.25, 0.6000000000000001
20, 40, 96, 4, 315, 0.25, 0.7000000000000001
7, 40, 96, 2, 315, 0.25, 0.8
4, 40, 96, 2, 315, 0.25, 0.9
72, 31, 96, 169, 324, 0.5, 0.1
70, 31, 96, 143, 324, 0.5, 0.2
67, 31, 96, 121, 324, 0.5, 0.30000000000000004
59, 31, 96, 86, 324, 0.5, 0.4
42, 31, 96, 40, 324, 0.5, 0.5
35, 31, 96, 27, 324, 0.5, 0.6000000000000001
26, 31, 96, 13, 324, 0.5, 0.7000000000000001
17, 31, 96, 8, 324, 0.5, 0.8
7, 31, 96, 1, 324, 0.5, 0.9
70, 14, 96, 197, 341, 0.75, 0.1
70, 14, 96, 191, 341, 0.75, 0.2
68, 14, 96, 169, 341, 0.75, 0.30000000000000004
55, 14, 96, 138, 341, 0.75, 0.4
44, 14, 96, 55, 341, 0.75, 0.5
38, 14, 96, 31, 341, 0.75, 0.6000000000000001
25, 14, 96, 20, 341, 0.75, 0.7000000000000001
14, 14, 96, 4, 341, 0.75, 0.8
7, 14, 96, 0, 341, 0.75, 0.9
52, 4, 96, 223, 351, 0.9, 0.1
49, 4, 96, 215, 351, 0.9, 0.2
48, 4, 96, 206, 351, 0.9, 0.30000000000000004
33, 4, 96, 172, 351, 0.9, 0.4
16, 4, 96, 31, 351, 0.9, 0.5
13, 4, 96, 16, 351, 0.9, 0.6000000000000001
7, 4, 96, 6, 351, 0.9, 0.7000000000000001
2, 4, 96, 0, 351, 0.9, 0.8
0, 4, 96, 0, 351, 0.9, 0.9
