foundAroma,foundUnixcoder,potential,unrelatedAroma,unrelatedUnixcoder,dropAmount,sim
81, 86, 96, 121, 6872, 0, 0.1
80, 86, 96, 114, 6872, 0, 0.2
78, 86, 96, 101, 6829, 0, 0.30000000000000004
63, 84, 96, 60, 6791, 0, 0.4
56, 84, 96, 25, 6755, 0, 0.5
48, 83, 96, 14, 6286, 0, 0.6000000000000001
33, 80, 96, 8, 4969, 0, 0.7000000000000001
17, 66, 96, 4, 1992, 0, 0.8
8, 18, 96, 2, 37, 0, 0.9
80, 86, 96, 149, 6872, 0.25, 0.1
79, 86, 96, 139, 6872, 0.25, 0.2
78, 86, 96, 114, 6841, 0.25, 0.30000000000000004
61, 85, 96, 77, 6808, 0.25, 0.4
53, 83, 96, 36, 6671, 0.25, 0.5
40, 82, 96, 21, 5998, 0.25, 0.6000000000000001
31, 79, 96, 13, 4411, 0.25, 0.7000000000000001
17, 45, 96, 5, 1377, 0.25, 0.8
9, 10, 96, 2, 14, 0.25, 0.9
66, 86, 96, 180, 6872, 0.5, 0.1
66, 86, 96, 168, 6870, 0.5, 0.2
61, 86, 96, 147, 6851, 0.5, 0.30000000000000004
53, 85, 96, 115, 6726, 0.5, 0.4
42, 85, 96, 64, 6295, 0.5, 0.5
35, 82, 96, 36, 5503, 0.5, 0.6000000000000001
27, 64, 96, 21, 3885, 0.5, 0.7000000000000001
18, 37, 96, 10, 1013, 0.5, 0.8
11, 6, 96, 2, 8, 0.5, 0.9
62, 86, 96, 209, 6872, 0.75, 0.1
60, 86, 96, 209, 6860, 0.75, 0.2
60, 85, 96, 199, 6677, 0.75, 0.30000000000000004
54, 84, 96, 148, 6270, 0.75, 0.4
44, 78, 96, 90, 5327, 0.75, 0.5
38, 58, 96, 33, 4129, 0.75, 0.6000000000000001
25, 44, 96, 21, 2496, 0.75, 0.7000000000000001
14, 11, 96, 4, 431, 0.75, 0.8
7, 0, 96, 0, 1, 0.75, 0.9
50, 86, 96, 225, 6871, 0.9, 0.1
47, 85, 96, 220, 6626, 0.9, 0.2
46, 80, 96, 212, 5688, 0.9, 0.30000000000000004
32, 64, 96, 179, 4497, 0.9, 0.4
16, 41, 96, 32, 3313, 0.9, 0.5
13, 22, 96, 19, 2092, 0.9, 0.6000000000000001
7, 9, 96, 6, 906, 0.9, 0.7000000000000001
2, 1, 96, 0, 134, 0.9, 0.8
0, 0, 96, 0, 0, 0.9, 0.9
